Part,Description,Quantity,Manufacturer,Part Number,Datasheet,Price (EGP),Total Price (EGP),
Arduino Uno,Arduino Uno R3,1,Arduino,A000066,https://microohm-eg.com/product/arduino-uno-r3-without-cable/?srsltid=AfmBOoqf4sH8R1hpsLeoVR4OLDvwz0cGRsyxkKvKK2rFqTOxH2cWadTo,370,370,
LED,"Blue LED, 3mm",1,Everlight Electronics,204-10UBC/S400-A6,https://mostelectronic.com/shop/displays-lcd-7-seg-led/leds-displays-lcd-7-seg-led/led-blue-color-3mm/,1,371,
Resistor,"10k Ohm, 0.25W",1,Yageo,MFR-25FBF52-330R,https://microohm-eg.com/product/resistors-10k-ohm-1-4-watt-10pcs/,1.5,372.5,
Push Button,Tactile Push Button Switch,4,Omron,B3F-1000,https://microohm-eg.com/product/press-4pin-push-button-switch-6x6x7-5mm/,1,373.5,
Jumper Wires,Male-to-Male,15,Generic,JW-MM-65,https://microohm-eg.com/product/jumper-wires-for-bread-board-arduino-65pcs/,5,378.5,
Breadboard ,MB-102 830-point solderless breadboard,2,Generic,MB-102,https://microohm-eg.com/product/mb102-830-points-solderless-prototype-pcb-breadboard-high-quality/,35,413.5,
Potentiometer ,"10k Ohm, 3-pin",1,Generic,Mpot10K_3pin,https://microohm-eg.com/product/potentiometer-10k-ohm-3-pin/,5.5,419,
Sensitive Photoresistor LDR,"Light Dependent Resistor, 5mm",1,Generic,LDR5mm 5537,https://microohm-eg.com/product/photo-resistor-sensor-ldr-20mm/,30,449,
LCD,16x2 LCD (HD44780 compatible),1,Generic,LCD_20*4B Blue 2004A V1.5,https://microohm-eg.com/product/lcd2004-parallel-lcd-display-with-blue-backlight/,275,724,
